fen,move,eval_before,eval_after,delta,label
6k1/pb4p1/3B1p1p/2Pn4/1P4q1/P6P/3Q1PP1/4R1K1 b - - 0 30,Qg6,494,527,33,1
6k1/pb4p1/3B1pqp/2Pn4/1P6/P6P/3Q1PP1/4R1K1 w - - 1 31,f4,564,456,-108,0
6k1/pb4p1/3B1pqp/2Pn4/1P3P2/P6P/3Q2P1/4R1K1 b - - 0 31,Qg3,479,429,-50,1
6k1/pb4p1/3B1p1p/2Pn4/1P3P2/P5qP/3Q2P1/4R1K1 w - - 1 32,Qf2,524,469,-55,1
6k1/pb4p1/3B1p1p/2Pn4/1P3P2/P5qP/5QP1/4R1K1 b - - 2 32,Qxa3,450,518,68,1
6k1/pb4p1/3B1p1p/2Pn4/1P3P2/q6P/5QP1/4R1K1 w - - 0 33,b5,461,447,-14,1
6k1/pb4p1/3B1p1p/1PPn4/5P2/q6P/5QP1/4R1K1 b - - 0 33,Qd3,466,495,29,1
6k1/pb4p1/3B1p1p/1PPn4/5P2/3q3P/5QP1/4R1K1 w - - 1 34,c6,504,504,0,1
6k1/pb4p1/2PB1p1p/1P1n4/5P2/3q3P/5QP1/4R1K1 b - - 0 34,Bc8,518,490,-28,1
2b3k1/p5p1/2PB1p1p/1P1n4/5P2/3q3P/5QP1/4R1K1 w - - 1 35,Re3,491,-300,-791,0
2b3k1/p5p1/2PB1p1p/1P1n4/5P2/3qR2P/5QP1/6K1 b - - 2 35,Qg6,-298,482,780,1
2b3k1/p5p1/2PB1pqp/1P1n4/5P2/4R2P/5QP1/6K1 w - - 3 36,Re8+,526,-142,-668,0
2b1R1k1/p5p1/2PB1pqp/1P1n4/5P2/7P/5QP1/6K1 b - - 4 36,Qxe8,-189,-177,12,1
2b1q1k1/p5p1/2PB1p1p/1P1n4/5P2/7P/5QP1/6K1 w - - 0 37,Kh2,-171,-214,-43,1
2b1q1k1/p5p1/2PB1p1p/1P1n4/5P2/7P/5QPK/8 b - - 1 37,Qe4,-219,-249,-30,1
2b3k1/p5p1/2PB1p1p/1P1n4/4qP2/7P/5QPK/8 w - - 2 38,Qd2,-244,-329,-85,1
2b3k1/p5p1/2PB1p1p/1P1n4/4qP2/7P/3Q2PK/8 b - - 3 38,Nb4,-356,221,577,1
2b3k1/p5p1/2PB1p1p/1P6/1n2qP2/7P/3Q2PK/8 w - - 4 39,Bxb4,185,11,-174,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,35,25,-10,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,30,19,-11,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d3,32,-18,-50,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,c5,-21,23,44,1
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,Nc3,20,2,-18,1
rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 1 3,Nf6,0,27,27,1
rnbqkb1r/pp1p1ppp/5n2/2p1p3/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq - 2 4,Nf3,29,-8,-37,1
rnbqkb1r/pp1p1ppp/5n2/2p1p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 3 4,h6,3,157,154,1
rnbqkb1r/pp1p1pp1/5n1p/2p1p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,Nxe5,171,133,-38,1
rnbqkb1r/pp1p1pp1/5n1p/2p1N3/4P3/2NP4/PPP2PPP/R1BQKB1R b KQkq - 0 5,Bd6,140,301,161,1
rnbqk2r/pp1p1pp1/3b1n1p/2p1N3/4P3/2NP4/PPP2PPP/R1BQKB1R w KQkq - 1 6,Nf3,296,157,-139,0
rnbqk2r/pp1p1pp1/3b1n1p/2p5/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 2 6,O-O,147,159,12,1
rnbq1rk1/pp1p1pp1/3b1n1p/2p5/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQ - 3 7,Be2,140,132,-8,1
rnbq1rk1/pp1p1pp1/3b1n1p/2p5/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQ - 4 7,Re8,135,140,5,1
rnbqr1k1/pp1p1pp1/3b1n1p/2p5/4P3/2NP1N2/PPP1BPPP/R1BQK2R w KQ - 5 8,O-O,140,138,-2,1
rnbqr1k1/pp1p1pp1/3b1n1p/2p5/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b - - 6 8,c4,134,314,180,1
rnbqr1k1/pp1p1pp1/3b1n1p/8/2p1P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 0 9,Be3,304,217,-87,1
rnbqr1k1/pp1p1pp1/3b1n1p/8/2p1P3/2NPBN2/PPP1BPPP/R2Q1RK1 b - - 1 9,a6,207,320,113,1
rnbqr1k1/1p1p1pp1/p2b1n1p/8/2p1P3/2NPBN2/PPP1BPPP/R2Q1RK1 w - - 0 10,Bd4,317,182,-135,0
rnbqr1k1/1p1p1pp1/p2b1n1p/8/2pBP3/2NP1N2/PPP1BPPP/R2Q1RK1 b - - 1 10,Qc7,174,444,270,1
rnb1r1k1/1pqp1pp1/p2b1n1p/8/2pBP3/2NP1N2/PPP1BPPP/R2Q1RK1 w - - 2 11,dxc4,419,459,40,1
rnb1r1k1/1pqp1pp1/p2b1n1p/8/2PBP3/2N2N2/PPP1BPPP/R2Q1RK1 b - - 0 11,Nc6,466,455,-11,1
r1b1r1k1/1pqp1pp1/p1nb1n1p/8/2PBP3/2N2N2/PPP1BPPP/R2Q1RK1 w - - 1 12,Bxf6,490,486,-4,1
r1b1r1k1/1pqp1pp1/p1nb1B1p/8/2P1P3/2N2N2/PPP1BPPP/R2Q1RK1 b - - 0 12,gxf6,477,465,-12,1
r1b1r1k1/1pqp1p2/p1nb1p1p/8/2P1P3/2N2N2/PPP1BPPP/R2Q1RK1 w - - 0 13,a3,453,462,9,1
r1b1r1k1/1pqp1p2/p1nb1p1p/8/2P1P3/P1N2N2/1PP1BPPP/R2Q1RK1 b - - 0 13,Kh7,437,517,80,1
r1b1r3/1pqp1p1k/p1nb1p1p/8/2P1P3/P1N2N2/1PP1BPPP/R2Q1RK1 w - - 1 14,Bd3,524,516,-8,1
r1b1r3/1pqp1p1k/p1nb1p1p/8/2P1P3/P1NB1N2/1PP2PPP/R2Q1RK1 b - - 2 14,Ne5,508,500,-8,1
r1b1r3/1pqp1p1k/p2b1p1p/4n3/2P1P3/P1NB1N2/1PP2PPP/R2Q1RK1 w - - 3 15,Nxe5,498,491,-7,1
r1b1r3/1pqp1p1k/p2b1p1p/4N3/2P1P3/P1NB4/1PP2PPP/R2Q1RK1 b - - 0 15,Bxe5,478,542,64,1
r1b1r3/1pqp1p1k/p4p1p/4b3/2P1P3/P1NB4/1PP2PPP/R2Q1RK1 w - - 0 16,Qd2,525,383,-142,0
r1b1r3/1pqp1p1k/p4p1p/4b3/2P1P3/P1NB4/1PPQ1PPP/R4RK1 b - - 1 16,Rg8,420,424,4,1
r1b3r1/1pqp1p1k/p4p1p/4b3/2P1P3/P1NB4/1PPQ1PPP/R4RK1 w - - 2 17,g3,431,381,-50,1
r1b3r1/1pqp1p1k/p4p1p/4b3/2P1P3/P1NB2P1/1PPQ1P1P/R4RK1 b - - 0 17,Bxc3,379,408,29,1
r1b3r1/1pqp1p1k/p4p1p/8/2P1P3/P1bB2P1/1PPQ1P1P/R4RK1 w - - 0 18,Qxc3,387,371,-16,1
r1b3r1/1pqp1p1k/p4p1p/8/2P1P3/P1QB2P1/1PP2P1P/R4RK1 b - - 0 18,d6,384,507,123,1
r1b3r1/1pq2p1k/p2p1p1p/8/2P1P3/P1QB2P1/1PP2P1P/R4RK1 w - - 0 19,e5+,553,419,-134,0
r1b3r1/1pq2p1k/p2p1p1p/4P3/2P5/P1QB2P1/1PP2P1P/R4RK1 b - - 0 19,f5,466,457,-9,1
r1b3r1/1pq2p1k/p2p3p/4Pp2/2P5/P1QB2P1/1PP2P1P/R4RK1 w - - 0 20,exd6,464,412,-52,1
r1b3r1/1pq2p1k/p2P3p/5p2/2P5/P1QB2P1/1PP2P1P/R4RK1 b - - 0 20,Qxd6,443,431,-12,1
r1b3r1/1p3p1k/p2q3p/5p2/2P5/P1QB2P1/1PP2P1P/R4RK1 w - - 0 21,c5,445,404,-41,1
r1b3r1/1p3p1k/p2q3p/2P2p2/8/P1QB2P1/1PP2P1P/R4RK1 b - - 0 21,Qc6,372,432,60,1
r1b3r1/1p3p1k/p1q4p/2P2p2/8/P1QB2P1/1PP2P1P/R4RK1 w - - 1 22,Qc4,433,367,-66,1
r1b3r1/1p3p1k/p1q4p/2P2p2/2Q5/P2B2P1/1PP2P1P/R4RK1 b - - 2 22,Be6,341,408,67,1
r5r1/1p3p1k/p1q1b2p/2P2p2/2Q5/P2B2P1/1PP2P1P/R4RK1 w - - 3 23,Qf4,489,387,-102,0
r5r1/1p3p1k/p1q1b2p/2P2p2/5Q2/P2B2P1/1PP2P1P/R4RK1 b - - 4 23,Rg5,383,407,24,1
r7/1p3p1k/p1q1b2p/2P2pr1/5Q2/P2B2P1/1PP2P1P/R4RK1 w - - 5 24,b4,402,381,-21,1
r7/1p3p1k/p1q1b2p/2P2pr1/1P3Q2/P2B2P1/2P2P1P/R4RK1 b - - 0 24,Rag8,382,431,49,1
6r1/1p3p1k/p1q1b2p/2P2pr1/1P3Q2/P2B2P1/2P2P1P/R4RK1 w - - 1 25,h4,443,138,-305,0
6r1/1p3p1k/p1q1b2p/2P2pr1/1P3Q1P/P2B2P1/2P2P2/R4RK1 b - - 0 25,Rh5,50,417,367,1
6r1/1p3p1k/p1q1b2p/2P2p1r/1P3Q1P/P2B2P1/2P2P2/R4RK1 w - - 1 26,Be2,402,409,7,1
6r1/1p3p1k/p1q1b2p/2P2p1r/1P3Q1P/P5P1/2P1BP2/R4RK1 b - - 2 26,Rg4,442,490,48,1
8/1p3p1k/p1q1b2p/2P2p1r/1P3QrP/P5P1/2P1BP2/R4RK1 w - - 3 27,Bxg4,511,510,-1,1
8/1p3p1k/p1q1b2p/2P2p1r/1P3QBP/P5P1/2P2P2/R4RK1 b - - 0 27,fxg4,473,475,2,1
8/1p3p1k/p1q1b2p/2P4r/1P3QpP/P5P1/2P2P2/R4RK1 w - - 0 28,Rfe1,466,486,20,1
8/1p3p1k/p1q1b2p/2P4r/1P3QpP/P5P1/2P2P2/R3R1K1 b - - 1 28,Rf5,480,480,0,1
8/1p3p1k/p1q1b2p/2P2r2/1P3QpP/P5P1/2P2P2/R3R1K1 w - - 2 29,Qxg4,506,400,-106,0
8/1p3p1k/p1q1b2p/2P2r2/1P4QP/P5P1/2P2P2/R3R1K1 b - - 0 29,Rxf2,362,384,22,1
8/1p3p1k/p1q1b2p/2P5/1P4QP/P5P1/2P2r2/R3R1K1 w - - 0 30,Qe4+,352,356,4,1
8/1p3p1k/p1q1b2p/2P5/1P2Q2P/P5P1/2P2r2/R3R1K1 b - - 1 30,Qxe4,362,373,11,1
8/1p3p1k/p3b2p/2P5/1P2q2P/P5P1/2P2r2/R3R1K1 w - - 0 31,Rxe4,377,379,2,1
8/1p3p1k/p3b2p/2P5/1P2R2P/P5P1/2P2r2/R5K1 b - - 0 31,Rxc2,400,360,-40,1
8/1p3p1k/p3b2p/2P5/1P2R2P/P5P1/2r5/R5K1 w - - 0 32,Rd4,367,365,-2,1
8/1p3p1k/p3b2p/2P5/1P1R3P/P5P1/2r5/R5K1 b - - 1 32,Bh3,352,366,14,1
8/1p3p1k/p6p/2P5/1P1R3P/P5Pb/2r5/R5K1 w - - 2 33,Kh1,358,340,-18,1
8/1p3p1k/p6p/2P5/1P1R3P/P5Pb/2r5/R6K b - - 3 33,Bg2+,332,365,33,1
8/1p3p1k/p6p/2P5/1P1R3P/P5P1/2r3b1/R6K w - - 4 34,Kh2,387,268,-119,0
8/1p3p1k/p6p/2P5/1P1R3P/P5P1/2r3bK/R7 b - - 5 34,Bf3+,290,368,78,1
8/1p3p1k/p6p/2P5/1P1R3P/P4bP1/2r4K/R7 w - - 6 35,Kh3,343,225,-118,0
8/1p3p1k/p6p/2P5/1P1R3P/P4bPK/2r5/R7 b - - 7 35,h5,195,225,30,1
8/1p3p1k/p7/2P4p/1P1R3P/P4bPK/2r5/R7 w - - 0 36,Rf1,242,-482,-724,0
8/1p3p1k/p7/2P4p/1P1R3P/P4bPK/2r5/5R2 b - - 1 36,Bg2+,-459,-477,-18,1
8/1p3p1k/p7/2P4p/1P1R3P/P5PK/2r3b1/5R2 w - - 2 37,Kh2,-485,-476,9,1
8/1p3p1k/p7/2P4p/1P1R3P/P5P1/2r3bK/5R2 b - - 3 37,Bxf1+,-461,-462,-1,1
8/1p3p1k/p7/2P4p/1P1R3P/P5P1/2r4K/5b2 w - - 0 38,Kg1,-464,-466,-2,1
8/1p3p1k/p7/2P4p/1P1R3P/P5P1/2r5/5bK1 b - - 1 38,Bh3,-445,-433,12,1
8/1p3p1k/p7/2P4p/1P1R3P/P5Pb/2r5/6K1 w - - 2 39,Rf4,-479,-496,-17,1
8/1p3p1k/p7/2P4p/1P3R1P/P5Pb/2r5/6K1 b - - 3 39,Rg2+,-499,-460,39,1
8/1p3p1k/p7/2P4p/1P3R1P/P5Pb/6r1/6K1 w - - 4 40,Kh1,-504,-497,7,1
8/1p3p1k/p7/2P4p/1P3R1P/P5Pb/6r1/7K b - - 5 40,Kg6,-507,-510,-3,1
8/1p3p2/p5k1/2P4p/1P3R1P/P5Pb/6r1/7K w - - 6 41,Rd4,-485,-466,19,1
8/1p3p2/p5k1/2P4p/1P1R3P/P5Pb/6r1/7K b - - 7 41,Rxg3,-501,-484,17,1
8/1p3p2/p5k1/2P4p/1P1R3P/P5rb/8/7K w - - 0 42,Kh2,-507,-549,-42,1
8/1p3p2/p5k1/2P4p/1P1R3P/P5rb/7K/8 b - - 1 42,Rxa3,-541,-479,62,1
8/1p3p2/p5k1/2P4p/1P1R3P/r6b/7K/8 w - - 0 43,Re4,-511,-535,-24,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,35,20,-15,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e6,27,65,38,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3,55,0,-55,1
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,c6,5,83,78,1
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Nc3,90,98,8,1
rnbqkbnr/pp1p1ppp/2p1p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,d5,108,107,-1,1
rnbqkbnr/pp3ppp/2p1p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,d4,101,98,-3,1
rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,dxe4,89,104,15,1
rnbqkbnr/pp3ppp/2p1p3/8/3Pp3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,Nxe4,121,127,6,1
rnbqkbnr/pp3ppp/2p1p3/8/3PN3/5N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,Nf6,125,157,32,1
rnbqkb1r/pp3ppp/2p1pn2/8/3PN3/5N2/PPP2PPP/R1BQKB1R w KQkq - 1 6,Bg5,158,95,-63,1
rnbqkb1r/pp3ppp/2p1pn2/6B1/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq - 2 6,Be7,92,93,1,1
rnbqk2r/pp2bppp/2p1pn2/6B1/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq - 3 7,Nxf6+,99,104,5,1
rnbqk2r/pp2bppp/2p1pN2/6B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq - 0 7,Bxf6,106,89,-17,1
rnbqk2r/pp3ppp/2p1pb2/6B1/3P4/5N2/PPP2PPP/R2QKB1R w KQkq - 0 8,Bf4,102,57,-45,1
rnbqk2r/pp3ppp/2p1pb2/8/3P1B2/5N2/PPP2PPP/R2QKB1R b KQkq - 1 8,Qb6,71,87,16,1
rnb1k2r/pp3ppp/1qp1pb2/8/3P1B2/5N2/PPP2PPP/R2QKB1R w KQkq - 2 9,b3,96,-30,-126,0
rnb1k2r/pp3ppp/1qp1pb2/8/3P1B2/1P3N2/P1P2PPP/R2QKB1R b KQkq - 0 9,Qb4+,-28,120,148,1
rnb1k2r/pp3ppp/2p1pb2/8/1q1P1B2/1P3N2/P1P2PPP/R2QKB1R w KQkq - 1 10,Qd2,53,22,-31,1
rnb1k2r/pp3ppp/2p1pb2/8/1q1P1B2/1P3N2/P1PQ1PPP/R3KB1R b KQkq - 2 10,Qxd2+,21,33,12,1
rnb1k2r/pp3ppp/2p1pb2/8/3P1B2/1P3N2/P1Pq1PPP/R3KB1R w KQkq - 0 11,Bxd2,19,17,-2,1
rnb1k2r/pp3ppp/2p1pb2/8/3P4/1P3N2/P1PB1PPP/R3KB1R b KQkq - 0 11,O-O,11,40,29,1
rnb2rk1/pp3ppp/2p1pb2/8/3P4/1P3N2/P1PB1PPP/R3KB1R w KQ - 1 12,Bd3,40,-6,-46,1
rnb2rk1/pp3ppp/2p1pb2/8/3P4/1P1B1N2/P1PB1PPP/R3K2R b KQ - 2 12,Rd8,-10,51,61,1
rnbr2k1/pp3ppp/2p1pb2/8/3P4/1P1B1N2/P1PB1PPP/R3K2R w KQ - 3 13,c3,46,-4,-50,1
rnbr2k1/pp3ppp/2p1pb2/8/3P4/1PPB1N2/P2B1PPP/R3K2R b KQ - 0 13,c5,-9,-17,-8,1
rnbr2k1/pp3ppp/4pb2/2p5/3P4/1PPB1N2/P2B1PPP/R3K2R w KQ - 0 14,O-O,-8,-93,-85,1
rnbr2k1/pp3ppp/4pb2/2p5/3P4/1PPB1N2/P2B1PPP/R4RK1 b - - 1 14,cxd4,-89,-84,5,1
rnbr2k1/pp3ppp/4pb2/8/3p4/1PPB1N2/P2B1PPP/R4RK1 w - - 0 15,c4,-84,-142,-58,1
rnbr2k1/pp3ppp/4pb2/8/2Pp4/1P1B1N2/P2B1PPP/R4RK1 b - - 0 15,Nc6,-172,-68,104,1
r1br2k1/pp3ppp/2n1pb2/8/2Pp4/1P1B1N2/P2B1PPP/R4RK1 w - - 1 16,a3,-65,-139,-74,1
r1br2k1/pp3ppp/2n1pb2/8/2Pp4/PP1B1N2/3B1PPP/R4RK1 b - - 0 16,b6,-149,-134,15,1
r1br2k1/p4ppp/1pn1pb2/8/2Pp4/PP1B1N2/3B1PPP/R4RK1 w - - 0 17,Bc1,-131,-214,-83,1
r1br2k1/p4ppp/1pn1pb2/8/2Pp4/PP1B1N2/5PPP/R1B2RK1 b - - 1 17,Bb7,-200,-187,13,1
r2r2k1/pb3ppp/1pn1pb2/8/2Pp4/PP1B1N2/5PPP/R1B2RK1 w - - 2 18,Bb2,-195,-222,-27,1
r2r2k1/pb3ppp/1pn1pb2/8/2Pp4/PP1B1N2/1B3PPP/R4RK1 b - - 3 18,Rd7,-237,-178,59,1
r5k1/pb1r1ppp/1pn1pb2/8/2Pp4/PP1B1N2/1B3PPP/R4RK1 w - - 4 19,Rad1,-198,-200,-2,1
r5k1/pb1r1ppp/1pn1pb2/8/2Pp4/PP1B1N2/1B3PPP/3R1RK1 b - - 5 19,Rad8,-190,-187,3,1
3r2k1/pb1r1ppp/1pn1pb2/8/2Pp4/PP1B1N2/1B3PPP/3R1RK1 w - - 6 20,Rfe1,-175,-163,12,1
3r2k1/pb1r1ppp/1pn1pb2/8/2Pp4/PP1B1N2/1B3PPP/3RR1K1 b - - 7 20,Na5,-170,-114,56,1
3r2k1/pb1r1ppp/1p2pb2/n7/2Pp4/PP1B1N2/1B3PPP/3RR1K1 w - - 8 21,Bc2,-156,-537,-381,0
3r2k1/pb1r1ppp/1p2pb2/n7/2Pp4/PP3N2/1BB2PPP/3RR1K1 b - - 9 21,d3,-499,-544,-45,1
3r2k1/pb1r1ppp/1p2pb2/n7/2P5/PP1p1N2/1BB2PPP/3RR1K1 w - - 0 22,Bb1,-459,-560,-101,0
3r2k1/pb1r1ppp/1p2pb2/n7/2P5/PP1p1N2/1B3PPP/1B1RR1K1 b - - 1 22,Bxb2,-617,-572,45,1
3r2k1/pb1r1ppp/1p2p3/n7/2P5/PP1p1N2/1b3PPP/1B1RR1K1 w - - 0 23,b4,-614,-699,-85,1
3r2k1/pb1r1ppp/1p2p3/n7/1PP5/P2p1N2/1b3PPP/1B1RR1K1 b - - 0 23,Nxc4,-708,-741,-33,1
3r2k1/pb1r1ppp/1p2p3/8/1Pn5/P2p1N2/1b3PPP/1B1RR1K1 w - - 0 24,Re3,-722,-748,-26,1
3r2k1/pb1r1ppp/1p2p3/8/1Pn5/P2pRN2/1b3PPP/1B1R2K1 b - - 1 24,Nxe3,-796,-858,-62,1
3r2k1/pb1r1ppp/1p2p3/8/1P6/P2pnN2/1b3PPP/1B1R2K1 w - - 0 25,fxe3,-812,-792,20,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4,35,29,-6,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,26,34,8,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Bc4,26,-10,-36,1
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,Nc6,-15,32,47,1
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Qf3,28,-43,-71,1
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR b KQkq - 3 3,Nf6,-34,-28,6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5Q2/PPPP1PPP/RNB1K1NR w KQkq - 4 4,d4,-35,-310,-275,0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5Q2/PPP2PPP/RNB1K1NR b KQkq - 0 4,h6,-341,-47,294,1
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2BPP3/5Q2/PPP2PPP/RNB1K1NR w KQkq - 0 5,dxe5,-43,-138,-95,1
r1bqkb1r/pppp1pp1/2n2n1p/4P3/2B1P3/5Q2/PPP2PPP/RNB1K1NR b KQkq - 0 5,d5,-122,62,184,1
r1bqkb1r/ppp2pp1/2n2n1p/3pP3/2B1P3/5Q2/PPP2PPP/RNB1K1NR w KQkq d6 0 6,Bxd5,98,-52,-150,0
r1bqkb1r/ppp2pp1/2n2n1p/3BP3/4P3/5Q2/PPP2PPP/RNB1K1NR b KQkq - 0 6,Nd4,-47,168,215,1
r1bqkb1r/ppp2pp1/5n1p/3BP3/3nP3/5Q2/PPP2PPP/RNB1K1NR w KQkq - 1 7,Qd3,185,168,-17,1
r1bqkb1r/ppp2pp1/5n1p/3BP3/3nP3/3Q4/PPP2PPP/RNB1K1NR b KQkq - 2 7,c5,173,466,293,1
r1bqkb1r/pp3pp1/5n1p/2pBP3/3nP3/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 8,exf6,466,422,-44,1
r1bqkb1r/pp3pp1/5P1p/2pB4/3nP3/3Q4/PPP2PPP/RNB1K1NR b KQkq - 0 8,Qxf6,463,459,-4,1
r1b1kb1r/pp3pp1/5q1p/2pB4/3nP3/3Q4/PPP2PPP/RNB1K1NR w KQkq - 0 9,Qb5+,494,-507,-1001,0
r1b1kb1r/pp3pp1/5q1p/1QpB4/3nP3/8/PPP2PPP/RNB1K1NR b KQkq - 1 9,Bd7,-482,231,713,1
r3kb1r/pp1b1pp1/5q1p/1QpB4/3nP3/8/PPP2PPP/RNB1K1NR w KQkq - 2 10,Qxc5,304,-666,-970,0
r3kb1r/pp1b1pp1/5q1p/2QB4/3nP3/8/PPP2PPP/RNB1K1NR b KQkq - 0 10,b6,-718,293,1011,1
r3kb1r/p2b1pp1/1p3q1p/2QB4/3nP3/8/PPP2PPP/RNB1K1NR w KQkq - 0 11,Qc7,303,-105,-408,0
r3kb1r/p1Qb1pp1/1p3q1p/3B4/3nP3/8/PPP2PPP/RNB1K1NR b KQkq - 1 11,g5,-137,319,456,1
r3kb1r/p1Qb1p2/1p3q1p/3B2p1/3nP3/8/PPP2PPP/RNB1K1NR w KQkq - 0 12,e5,336,242,-94,1
r3kb1r/p1Qb1p2/1p3q1p/3BP1p1/3n4/8/PPP2PPP/RNB1K1NR b KQkq - 0 12,Qg6,214,323,109,1
r3kb1r/p1Qb1p2/1p4qp/3BP1p1/3n4/8/PPP2PPP/RNB1K1NR w KQkq - 1 13,e6,310,263,-47,1
r3kb1r/p1Qb1p2/1p2P1qp/3B2p1/3n4/8/PPP2PPP/RNB1K1NR b KQkq - 0 13,fxe6,256,334,78,1
r3kb1r/p1Qb4/1p2p1qp/3B2p1/3n4/8/PPP2PPP/RNB1K1NR w KQkq - 0 14,Bxe6,350,-467,-817,0
r3kb1r/p1Qb4/1p2B1qp/6p1/3n4/8/PPP2PPP/RNB1K1NR b KQkq - 0 14,Bxe6,-492,-479,13,1
r3kb1r/p1Q5/1p2b1qp/6p1/3n4/8/PPP2PPP/RNB1K1NR w KQkq - 0 15,Qc4,-471,-1007,-536,0
r3kb1r/p7/1p2b1qp/6p1/2Qn4/8/PPP2PPP/RNB1K1NR b KQkq - 1 15,Qf7,-922,333,1255,1
r3kb1r/p4q2/1p2b2p/6p1/2Qn4/8/PPP2PPP/RNB1K1NR w KQkq - 2 16,Qxd4,351,319,-32,1
r3kb1r/p4q2/1p2b2p/6p1/3Q4/8/PPP2PPP/RNB1K1NR b KQkq - 0 16,Rd8,323,511,188,1
3rkb1r/p4q2/1p2b2p/6p1/3Q4/8/PPP2PPP/RNB1K1NR w KQk - 1 17,Qxh8,522,500,-22,1
3rkb1Q/p4q2/1p2b2p/6p1/8/8/PPP2PPP/RNB1K1NR b KQ - 0 17,Bf5,515,584,69,1
3rkb1Q/p4q2/1p5p/5bp1/8/8/PPP2PPP/RNB1K1NR w KQ - 1 18,Nf3,590,544,-46,1
3rkb1Q/p4q2/1p5p/5bp1/8/5N2/PPP2PPP/RNB1K2R b KQ - 2 18,Bxc2,543,628,85,1
3rkb1Q/p4q2/1p5p/6p1/8/5N2/PPb2PPP/RNB1K2R w KQ - 0 19,O-O,652,621,-31,1
3rkb1Q/p4q2/1p5p/6p1/8/5N2/PPb2PPP/RNB2RK1 b - - 1 19,Bxb1,643,779,136,1
3rkb1Q/p4q2/1p5p/6p1/8/5N2/PP3PPP/RbB2RK1 w - - 0 20,Rxb1,750,711,-39,1
3rkb1Q/p4q2/1p5p/6p1/8/5N2/PP3PPP/1RB2RK1 b - - 0 20,Kd7,804,851,47,1
3r1b1Q/p2k1q2/1p5p/6p1/8/5N2/PP3PPP/1RB2RK1 w - - 1 21,Ne5+,836,847,11,1
3r1b1Q/p2k1q2/1p5p/4N1p1/8/8/PP3PPP/1RB2RK1 b - - 2 21,Ke6,878,909,31,1
